EmployeeNumber,Gender,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Female,41,Yes,Travel_Rarely,Sales,1,Life Sciences,2,94,Sales Executive,4,Single,5993,8,Yes,11,3,8,0,1,6,4,0,5
2,Male,49,No,Travel_Frequently,Research & Development,8,Life Sciences,3,61,Research Scientist,2,Married,5130,1,No,23,4,10,3,3,10,7,1,7
4,Male,37,Yes,Travel_Rarely,Research & Development,2,Other,4,92,Laboratory Technician,3,Single,2090,6,Yes,15,3,7,3,3,0,0,0,0
5,Female,33,No,Travel_Frequently,Research & Development,3,Life Sciences,4,56,Research Scientist,3,Married,2909,1,Yes,11,3,8,3,3,8,7,3,0
7,Male,27,No,Travel_Rarely,Research & Development,2,Medical,1,40,Laboratory Technician,2,Married,3468,9,No,12,3,6,3,3,2,2,2,2
8,Male,32,No,Travel_Frequently,Research & Development,2,Life Sciences,4,79,Laboratory Technician,4,Single,3068,0,No,13,3,8,2,2,7,7,3,6
10,Female,59,No,Travel_Rarely,Research & Development,3,Medical,3,81,Laboratory Technician,1,Married,2670,4,Yes,20,4,12,3,2,1,0,0,0
11,Male,30,No,Travel_Rarely,Research & Development,24,Life Sciences,4,67,Laboratory Technician,3,Divorced,2693,1,No,22,4,1,2,3,1,0,0,0
12,Male,38,No,Travel_Frequently,Research & Development,23,Life Sciences,4,44,Manufacturing Director,3,Single,9526,0,No,21,4,10,2,3,9,7,1,8
13,Male,36,No,Travel_Rarely,Research & Development,27,Medical,3,94,Healthcare Representative,3,Married,5237,6,No,13,3,17,3,2,7,7,7,7
14,Male,35,No,Travel_Rarely,Research & Development,16,Medical,1,84,Laboratory Technician,2,Married,2426,0,No,13,3,6,5,3,5,4,0,3
15,Female,29,No,Travel_Rarely,Research & Development,15,Life Sciences,4,49,Laboratory Technician,3,Single,4193,0,Yes,12,3,10,3,3,9,5,0,8
16,Male,31,No,Travel_Rarely,Research & Development,26,Life Sciences,1,31,Research Scientist,3,Divorced,2911,1,No,17,3,5,1,2,5,2,4,3
18,Male,34,No,Travel_Rarely,Research & Development,19,Medical,2,93,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,2,3,2,2,1,2
19,Male,28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,50,Laboratory Technician,3,Single,2028,5,Yes,14,3,6,4,3,4,2,0,3
20,Female,29,No,Travel_Rarely,Research & Development,21,Life Sciences,2,51,Manufacturing Director,1,Divorced,9980,1,No,11,3,10,1,3,10,9,8,8
21,Male,32,No,Travel_Rarely,Research & Development,5,Life Sciences,1,80,Research Scientist,2,Divorced,3298,0,Yes,12,3,7,5,2,6,2,0,5
22,Male,22,No,Non-Travel,Research & Development,16,Medical,4,96,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,1,2,2,1,0,0,0
